id,stary,nowy
2022Ark_1,I.1,I.1
2022Ark_1,I.4,I.4
2022Ark_2,I.9,I.9
2022Ark_3,XI.2,XI.2
2022Ark_4,II.1,II.1
2022Ark_5,IV.1,IV.1
2022Ark_5,VIII.4,VIII.4
2022Ark_6,V.2,V.2
2022Ark_7,III.6,
2022Ark_8,I.6,I.6
2022Ark_8,I.7,
2022Ark_9,I.2,I.2
2022Ark_10_1,V.12,
2022Ark_10_2,V.4,V.4
2022Ark_10_3,V.8,V.8
2022Ark_10_3,V.9,V.9
2022Ark_11,V.5,V.5
2022Ark_12,V.6,V.6
2022Ark_12,V.11,V.11
2022Ark_13_1,V.3,V.3
2022Ark_13_1,V.13,
2022Ark_13_2,VI.5,VI.6
2022Ark_14,I.8,I.8
2022Ark_15,VI.1,VI.1
2022Ark_15,VI.3,VI.4
2022Ark_16,VII.3,VII.3
2022Ark_17,IX.4,IX.4
2022Ark_18,VIII.8,VIII.8
2022Ark_19,IX.2,
2022Ark_20,IX.3,IX.3
2022Ark_21,VII.4,VII.4
2022Ark_21,VIII.5,VIII.5
2022Ark_22,VII.2,VII.2
2022Ark_23,VIII.9,VIII.9
2022Ark_24,VIII.5,VIII.5
2022Ark_24,VIII.7,
2022Ark_25,VIII.11,VIII.12
2022Ark_26,X.5,X.6
2022Ark_27,X.2,X.2
2022Ark_27,X.3,X.3
2022Ark_28,XI.2,XI.2
2022Ark_28,XII.1,XII.1
2022Ark_30_1,XII.2,XII.2
2022Ark_30_2,XII.2,XII.2
2023cze_1,I.7,
2023cze_2,I.4,I.4
2023cze_3,I.2,I.2
2023cze_4,I.8,I.8
2023cze_5,I.9,I.9
2023cze_6,II.1,II.1
2023cze_7,II.5,II.4
2023cze_8,III.4,III.4
2023cze_9,III.5,
2023cze_10,III.6,
2023cze_11,V.5,V.5
2023cze_12,V.6,V.6
2023cze_13_1,V.4,V.4
2023cze_13_2,V.4,V.4
2023cze_14,V.8,V.8
2023cze_15_1,V.13,
2023cze_15_2,VI.5,VI.6
2023cze_16,III.3,III.3
2023cze_17,VI.4,VI.5
2023cze_18,VI.5,VI.6
2023cze_19,VII.2,VII.2
2023cze_20,VII.3,VII.3
2023cze_21,VIII.1,VIII.1
2023cze_22,VIII.4,VIII.4
2023cze_23,VIII.5,VIII.5
2023cze_24,VIII.9,VIII.9
2023cze_25,VIII.11,VIII.12
2023cze_26,IX.2,
2023cze_27,IX.3,IX.3
2023cze_28,X.4,X.5
2023cze_29_1,X.4,X.5
2023cze_29_2,X.2,X.2
2023cze_30,X.4,X.5
2023cze_31,XI.1,XI.1
2023cze_32,XII.1,XII.1
2023cze_33,XIII,XIII
2023maj_1,I.7,
2023maj_2,I.4,I.4
2023maj_3,I.2,I.2
2023maj_4,I.1,I.1
2023maj_5,II.1,II.1
2023maj_6,III.3,III.3
2023maj_7,III.5,
2023maj_8,III.6,
2023maj_9,III.5,
2023maj_10,IV.1,IV.1
2023maj_11,IV.2,IV.2
2023maj_12_1,V.4,V.4
2023maj_12_2,V.4,V.4
2023maj_12_3,V.4,V.4
2023maj_13,V.5,V.5
2023maj_14,V.11,V.11
2023maj_15,VI.1,VI.1
2023maj_16,VI.6,VI.7
2023maj_17,VI.4,VI.5
2023maj_18,VII.1,VII.1
2023maj_19,VII.2,VII.2
2023maj_20,VIII.4,VIII.4
2023maj_21,VIII.5,VIII.5
2023maj_22,VIII.8,VIII.8
2023maj_23,IX.1,IX.1
2023maj_24,IX.2,
2023maj_25,X.2,X.2
2023maj_25,X.3,X.3
2023maj_25,VII.4,VII.4
2023maj_26,X.4,X.5
2023maj_27,XI.1,XI.1
2023maj_28,XI.1,XI.1
2023maj_29,XII.2,XII.2
2023maj_30,XII.1,XII.1
2023maj_31_1,V.3,V.3
2023maj_31_1,V.2,V.2
2023maj_31_2,XIII,XIII
2024cze_1,I.1,I.1
2024cze_1,I.4,I.4
2024cze_2,I.1,I.1
2024cze_2,I.9,I.9
2024cze_3,I.3,I.3
2024cze_3,II.1,II.1
2024cze_4,I.8,I.8
2024cze_5,I.2,I.2
2024cze_6,III.3,III.3
2024cze_7,IV.1,IV.1
2024cze_8,II.1,II.1
2024cze_8,II.5,II.4
2024cze_9,II.2,II.2
2024cze_9,V.2,V.2
2024cze_10,III.5,
2024cze_11_1,V.4,V.4
2024cze_11_2,V.4,V.4
2024cze_11_2,V.12,
2024cze_12,V.3,V.3
2024cze_13,V.6,V.6
2024cze_14,V.9,V.9
2024cze_15_1,V.7,V.7
2024cze_15_2,V.2,V.2
2024cze_15_2,V.8,V.8
2024cze_16_1,VI.1,VI.1
2024cze_16_2,VI.2,VI.3
2024cze_16_2,VI.3,VI.4
2024cze_17,VI.4,VI.5
2024cze_18,VI.6,VI.7
2024cze_19,VII.2,VII.2
2024cze_20,VII.4,VII.4
2024cze_21,VIII.5,VIII.5
2024cze_22,VIII.8,VIII.8
2024cze_23_1,IX.4,IX.4
2024cze_23_2,IX.6,IX.5
2024cze_24,IX.1,IX.1
2024cze_24,IX.2,
2024cze_24,IX.3,IX.3
2024cze_25,XI.1,XI.1
2024cze_26,X.4,X.5
2024cze_27,X.4,X.5
2024cze_28,XII.2,XII.2
2024cze_29,XI.2,XI.2
2024cze_30,XII.1,XII.1
2024cze_31,XII.1,XII.1
2024cze_32,XIII,XIII
2024maj_1,I.7,
2024maj_2,I.4,I.4
2024maj_3,I.2,I.2
2024maj_4,I.1,I.1
2024maj_5,II.1,II.1
2024maj_6,III.3,III.3
2024maj_7,III.6,
2024maj_8,II.2,II.2
2024maj_8,III.5,
2024maj_9,III.5,
2024maj_10,IV.2,IV.2
2024maj_11,IV.1,IV.1
2024maj_12,V.5,V.5
2024maj_13,V.6,V.6
2024maj_14_1,V.4,V.4
2024maj_14_2,V.9,V.9
2024maj_14_3,V.3,V.3
2024maj_14_4,V.12,
2024maj_15,VI.1,VI.1
2024maj_16,VI.2,VI.3
2024maj_16,VI.6,VI.7
2024maj_17,VI.4,VI.5
2024maj_18,VII.1,VII.1
2024maj_18,VII.2,VII.2
2024maj_19,VII.2,VII.2
2024maj_20,VIII.7,
2024maj_21,VIII.11,VIII.12
2024maj_22,VIII.5,VIII.5
2024maj_23,IX.2,
2024maj_24,IX.3,IX.3
2024maj_25_1,X.4,X.5
2024maj_25_2,X.2,X.2
2024maj_26,X.5,X.6
2024maj_27,XI.2,XI.2
2024maj_28,XII.2,XII.2
2024maj_29,XII.2,XII.2
2024maj_30,XII.1,XII.1
2024maj_31,XIII,XIII
